appid,game_name,slice,recommendationid,steamid,num_games_owned,num_reviews,playtime_forever,playtime_last_two_weeks,playtime_at_review,language,review,timestamp_created,timestamp_updated,voted_up,votes_up,votes_funny,weighted_vote_score,comment_count,steam_purchase,received_for_free,written_during_early_access
2868840,Slay the Spire 2,bomb_window,225602881,76561197989037971,0,5,14071,937,11100,english,All the fun of the first but with friends!,1778878615,1778878615,True,0,0,0.5,0,True,False,True
2868840,Slay the Spire 2,bomb_window,225602685,76561198003743266,359,3,1636,0,570,english,"Re-review:  Multiplayer is fun,  it's likely the only version I'll continue to play though.      The single player mode remains largely the same. Some new mechanics, some new characters,  but overall if single player is your focus,  you can probably save your money and just get some mods for the original.",1778878472,1779395366,False,2,0,0.5,0,True,False,True
2868840,Slay the Spire 2,bomb_window,225602480,76561199230211312,0,10,10452,1574,1223,english,"lets slay this spire, 2.",1778878324,1778878324,True,0,0,0.5,0,True,False,True
2868840,Slay the Spire 2,bomb_window,225602425,76561197972113404,0,10,577,0,577,english,"The Game, while fun as long as you have friends to play it with, and have a plan for how each of you is going to build your characters, is somewhat enjoyable, even if you've never touched the first one, you don't feel like your missing too many details. Unfortunately this leads to a distinct lack of replay ability because once you've beaten it, even if your using different characters, you don't feel any meaningful sense of accomplishment. The Game runs well enough, which isn't surprising, and should be expected, the game isn't overly intensive in effects. My last big issue is of course the recent information that one of the biggest Anti-Gaming figures in the past twenty years is credited for having a hand in this game, and I can't condone, or even recommend this game because of Anita Sarkeesian. I personally will not continue playing or showing any interest in continuing to play this game until her ""contributions"" are removed, and the Devs come out and show us that they understand this behavior is unacceptable.",1778878283,1778878283,False,3,0,0.430463552474975586,0,True,False,True
2868840,Slay the Spire 2,bomb_window,225601944,76561198330986171,74,24,6627,0,2681,english,"yes very good, im not a soft boy to give it a negative review just because a build got nerfed",1778877871,1778877871,True,0,0,0.5,0,True,False,True
2868840,Slay the Spire 2,bomb_window,225601689,76561198141567769,240,21,7230,157,5994,english,trying to counter the hate towards this game. Everyone getting mad about anita being apart of it. Ill admit I don't like her either but her name has been in the game since the beginning and now yall are mad? like come on. Anyways don't fall for the hate. This is an amazing game and full support mega critic.,1778877705,1778877731,True,1,0,0.504132270812988281,1,True,False,True
2868840,Slay the Spire 2,bomb_window,225601353,76561198273259554,390,10,10412,1332,6164,english,"Honestly I was going to write a whole couple of paragraphs of why the recent review bombing was stupid and how people are falling for behavioral contagion and blah blah blah, but I realized probably no one is going to actually read it.  Game good, leaving a good review to counteract the recent review bombing bc the politics behind it is stupid.   Please update the trypophobia filter to cover more, like the purple ghost elite with the big eyeball. That guy has a ton of holes around him and I literally can't look at the screen while fighting him either lmao.",1778877473,1778877891,True,0,0,0.5,0,True,False,True
2868840,Slay the Spire 2,bomb_window,225601208,76561198006113940,0,2,2480,0,2480,english,"we all know why. while the gameplay is still in development so to speak, this is the only way for most people to voice their concerns with the industry. If you attach your product to someone that is reviled in the space, you will undoubtedly receive pushback. Everything is sexist everything is racist and everything is phobic and we are supposed to point it out. It's important to make the environment for these people so toxic that the cost of the consequences outweighs their ideology. This directly will and can effect the gameplay. The characters the dialoge etc. Even steam is removing bad reviews for this game because they don't want to be on the wrong side of an issue. I mainly play on xbox and decided to buy this game on steam because i wanted to try and start moving to pc. the consultants hate us. by us i mean gamers in general. they sink their hooks into existing IPs and corrupt them.",1778877376,1778877376,False,4,0,0.5,0,True,False,True
2868840,Slay the Spire 2,bomb_window,225601171,76561198790148997,0,3,9161,3292,1453,english,good game,1778877352,1778877352,True,0,0,0.5,0,True,False,True
2868840,Slay the Spire 2,bomb_window,225601005,76561198827248179,0,1,13764,910,7418,english,,1778877250,1778877250,True,0,0,0.5,0,True,False,True
